filename,width,height,class,xmin,ymin,xmax,ymax
chili_grade_A_90_jpg.rf.d7d5d037a2ba3f06431bb04b34c70982.jpg,640,640,0,202,0,337,586
chili_grade_B_146_jpg.rf.f94f2cf84cb3ed9699a173809db18383.jpg,640,640,1,177,47,327,628
chili_grade_B_132_jpg.rf.e2b0687b1d7916798db8f651b9bdaef5.jpg,640,640,1,219,95,366,596
chili_grade_C_146_jpg.rf.61d2b38e73b7339880be495bee700d3d.jpg,640,640,2,100,308,474,390
chili_grade_B_90_jpg.rf.40f139c01e501e4d942cf073611dc775.jpg,640,640,1,194,22,351,614
chili_grade_B_12_jpg.rf.18b6863d4e6fe36e98fd8680d97f31b8.jpg,640,640,1,35,281,530,463
chili_grade_A_89_jpg.rf.c8af83433e5d05f41b403995e26637cd.jpg,640,640,0,86,225,581,379
chili_grade_B_148_jpg.rf.e9c864fa4c3385ed9beebebbc7d38bb2.jpg,640,640,1,259,101,351,603
chili_grade_B_128_jpg.rf.b103a62dd2948970eb7bf18de41d9647.jpg,640,640,1,214,109,324,621
chili_grade_C_14_jpg.rf.021d34fe5fbb5370eb2f5f4f54664fbd.jpg,640,640,2,72,323,484,448
chili_grade_C_146_jpg.rf.4084b196399fbf61df27b74b8eeb030c.jpg,640,640,2,100,308,474,390
chili_grade_C_103_jpg.rf.d36ac38a5546fb1ca078d9cff8412cd2.jpg,640,640,2,38,273,542,417
chili_grade_B_25_jpg.rf.dc27722114057060b15eb9f59e21fefb.jpg,640,640,1,52,162,591,396
chili_grade_E_123_jpg.rf.81624c735d352284d5ecb41dfbffd331.jpg,640,640,4,123,263,513,385
chili_grade_B_6_jpg.rf.954f32163ef37f8e239a47385a38fef1.jpg,640,640,1,210,32,288,608
chili_grade_C_182_jpg.rf.5e660100758126b7f534cc4f619e44aa.jpg,640,640,2,168,263,493,410
chili_grade_B_120_jpg.rf.a5656318d614cb20483840b235c8e619.jpg,640,640,1,232,51,339,627
chili_grade_A_68_jpg.rf.49c892ad7ba7483d0e6d447b2fe1b89f.jpg,640,640,0,32,145,539,337
chili_grade_C_100_jpg.rf.9f36c0343fb37ce5738b9f63ce7466f0.jpg,640,640,2,129,202,438,433
chili_grade_B_198_jpg.rf.156a4f1f9e2c459176c1e253575a2acf.jpg,640,640,1,172,307,466,385
chili_grade_B_181_jpg.rf.47183cdbbefd740d094196a1ac942db4.jpg,640,640,1,265,109,420,622
chili_grade_B_198_jpg.rf.e9a1b08b133a757306fe6f71d43dba32.jpg,640,640,1,172,307,466,385
chili_grade_A_67_jpg.rf.7b53d4e345b624b1902502ab8aabb74a.jpg,640,640,0,24,252,559,401
chili_grade_B_64_jpg.rf.f9f325d0937fe9932b1273e6ef4d72c2.jpg,640,640,1,13,262,589,361
