filename,width,height,class,xmin,ymin,xmax,ymax
chili_grade_E_104_jpg.rf.f0b91202fb0f4323420e8251a46b70fb.jpg,640,640,4,65,268,550,390
chili_grade_E_65_jpg.rf.633301982a78c71e261c46a38eda3a41.jpg,640,640,4,108,254,554,488
chili_grade_E_76_jpg.rf.2c930a132cf55248c1e51c97b849ea00.jpg,640,640,4,103,147,587,448
chili_grade_E_111_jpg.rf.839a820fa671e48c1022ae0c60d42355.jpg,640,640,4,97,284,532,419
chili_grade_E_84_jpg.rf.16f27f61db58c75089ae072f03207aec.jpg,640,640,4,120,277,640,410
chili_grade_E_11_jpg.rf.ce7a2af3da7eeceafdaab619e9a67f51.jpg,640,640,4,245,3,342,573
chili_grade_E_137_jpg.rf.63e478322f0de63dcb84f16a5492cf32.jpg,640,640,4,223,78,385,586
chili_grade_C_29_jpg.rf.8a9549a242a3c2fcd9c7049f78b0a0ca.jpg,640,640,2,107,293,464,403
chili_grade_E_96_jpg.rf.d734da6419dae330eca14f8561bad51c.jpg,640,640,4,55,266,512,428
chili_grade_E_119_jpg.rf.7406b478be51ef8b67f9a403ba02b93c.jpg,640,640,4,51,283,476,376
chili_grade_E_38_jpg.rf.f11c79f03e8972f8d0e8a49012adbbe9.jpg,640,640,4,132,68,334,611
chili_grade_E_144_jpg.rf.7e5d1e23674f663c9d88272c383c58ce.jpg,640,640,4,62,239,484,394
chili_grade_E_54_jpg.rf.6ed0d680a5f85e9f0f0dbe5d78d6af6f.jpg,640,640,4,73,289,581,400
chili_grade_E_44_jpg.rf.83d07788ecd7bfd4146d888fb6984232.jpg,640,640,4,99,258,492,422
chili_grade_C_194_jpg.rf.83792e5e03a5c8b691474b649770e28f.jpg,640,640,2,127,237,491,393
chili_grade_E_34_jpg.rf.141684bef00d9a3cc50cfe0e07fca4fc.jpg,640,640,4,239,95,402,588
chili_grade_E_42_jpg.rf.9f8a072e78598758d1df93c7d9d278af.jpg,640,640,4,77,155,504,408
chili_grade_C_27_jpg.rf.d8873370beb9f8a35baa9c25880b7d73.jpg,640,640,2,83,329,406,466
chili_grade_C_47_jpg.rf.e1bbe276aa64ece4a0447e30e099e0e8.jpg,640,640,2,193,63,319,591
chili_grade_E_140_jpg.rf.b12ae3d63e6b2d9f6dce849c441fd32d.jpg,640,640,4,95,288,489,403
chili_grade_E_146_jpg.rf.69969c9720a8c5852b83b71a7595ea79.jpg,640,640,4,154,220,511,392
chili_grade_C_80_jpg.rf.b7ab85a2e1e1b931d7799589877c0868.jpg,640,640,2,56,253,472,458
chili_grade_C_79_jpg.rf.83afd6e3c9e96553bb5ac4307150e8ed.jpg,640,640,2,265,59,334,589
chili_grade_C_50_jpg.rf.3136036caef0423566551aa50312d254.jpg,640,640,2,54,301,524,485
chili_grade_D_0_jpg.rf.43c078fdf3f90e82ab086add8831b67a.jpg,640,640,3,202,52,322,628
chili_grade_E_37_jpg.rf.b3bc00d76d0bf9b64ccdbf8ec3a46b4f.jpg,640,640,4,96,242,544,383
chili_grade_C_91_jpg.rf.3bfb1848c9e0bf176456f51d9f15919d.jpg,640,640,2,119,201,431,512
chili_grade_C_186_jpg.rf.6916417f8af6590dc3397d6f1157ad30.jpg,640,640,2,147,232,468,395
chili_grade_C_62_jpg.rf.43d107d0ff7e93e0263af19f1eccd014.jpg,640,640,2,142,42,333,577
chili_grade_D_118_jpg.rf.5fc3555b069eaa4b08d69119c69c9dd0.jpg,640,640,3,262,23,387,563
chili_grade_C_25_jpg.rf.c189899272ff5d1a847e43a7bdeb9ca1.jpg,640,640,2,199,83,280,543
chili_grade_C_96_jpg.rf.4d863fc10700676690186fc2176a39c4.jpg,640,640,2,191,56,329,573
chili_grade_C_124_jpg.rf.8261759bc3b1b756974f8f9f15c81feb.jpg,640,640,2,73,274,515,379
chili_grade_C_180_jpg.rf.ffc7add29f50740ad6ef4bd0296da93c.jpg,640,640,2,77,268,428,349
chili_grade_D_126_jpg.rf.28a6ea7129ae44ed8d0e7f556371cdff.jpg,640,640,3,224,31,356,613
chili_grade_E_185_jpg.rf.e646a6d4e0c5d54d37e398c998258fcc.jpg,640,640,4,220,78,356,584
chili_grade_C_173_jpg.rf.8186bd23f5929c9e27865a429e4924af.jpg,640,640,2,224,48,317,591
chili_grade_D_121_jpg.rf.78c284debd9f8c8ba32f88e9dea361d9.jpg,640,640,3,134,260,563,395
chili_grade_C_190_jpg.rf.b8050463d53dbb5c1f31dc313ed7ac97.jpg,640,640,2,155,253,539,456
chili_grade_C_46_jpg.rf.cb76f2d97ddef9d15554b929c9b9b866.jpg,640,640,2,90,179,520,356
chili_grade_C_132_jpg.rf.44d77c18182e252062cb3ae7d8ff9541.jpg,640,640,2,63,242,469,511
chili_grade_D_99_jpg.rf.4f7f4fe632413f02e9e54ce8d90ac402.jpg,640,640,3,40,236,559,417
chili_grade_D_15_jpg.rf.d181b591686b7306fe0f86691a5c7bd1.jpg,640,640,3,120,289,515,402
chili_grade_C_137_jpg.rf.70ce979a9b760b53a42eee3df02cb70a.jpg,640,640,2,214,141,321,555
chili_grade_D_61_jpg.rf.7cae7b45f2aec67d0e14b1dc270c6968.jpg,640,640,3,264,76,357,608
chili_grade_D_181_jpg.rf.c39584967e6811832c56d201725d9fbb.jpg,640,640,3,78,197,492,460
chili_grade_D_3_jpg.rf.b2f21ab2bedfcaecc3b5e8e294715a73.jpg,640,640,3,49,319,509,446
chili_grade_D_46_jpg.rf.2f8719afb48a32c9fa3ec35414dbbb30.jpg,640,640,3,242,42,323,627
chili_grade_D_129_jpg.rf.335a5a7e8bffdd5bcb2b7da0d3e59c57.jpg,640,640,3,83,252,503,404
chili_grade_D_78_jpg.rf.02ee083951192a34303927103e291ba0.jpg,640,640,3,113,142,502,435
chili_grade_D_94_jpg.rf.998a0f472e8954a054c14983047e7452.jpg,640,640,3,101,248,559,371
